#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-10 00:34
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "hot+outside"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Fri,2017,6,09,22,52,06,citystate,san diego,ca,32.7153292,-117.1572551,870296902956220418,873311773117566976,0,1
Fri,2017,6,09,22,51,01,failure,NA,NA,NA,NA,1615593660,87331150065981030,0,1
Fri,2017,6,09,22,46,42,failure,NA,NA,NA,NA,736212357584654336,87331041442315878,0,1
Fri,2017,6,09,22,40,07,knowncity,san francisco,unk,37.77,-122.42,363875537,87330875466982195,0,1
Fri,2017,6,09,22,38,43,citystate,denver,co,39.7391536,-104.9847034,3145144270,873308404206379009,0,1
Fri,2017,6,09,22,35,34,citystate,grand rapids,mi,42.9633599,-85.6680863,1424647460,873307609972998146,0,1
Fri,2017,6,09,22,34,55,knowncity,atl,unk,33.75,-84.39,256812488,87330744737252556,0,1
Fri,2017,6,09,22,30,48,citystate,el paso,tx,31.7587198,-106.4869314,470790298,873306412306255872,0,1
Fri,2017,6,09,22,29,47,citystate,washington,dc,38.8951118,-77.0363658,831426805,873306153995739137,0,1
Fri,2017,6,09,22,28,48,citystate,san juan,tx,27.7672496,-97.5388826,1416584322,873305910340399104,0,1
Fri,2017,6,09,22,27,59,citystate,houston,tx,29.7632836,-95.3632715,822053314401538049,873305701610905606,0,1
Fri,2017,6,09,22,26,55,citystate,chicago,il,41.850033,-87.6500523,491889653,873305436321009668,0,1
Fri,2017,6,09,22,25,54,citystate,glen allen,va,37.665978,-77.5063739,4843972983,873305179650764800,0,1
Fri,2017,6,09,22,23,05,citystate,nashville,tn,36.1658899,-86.7844432,492169782,873304467914936320,0,1
Fri,2017,6,09,22,19,51,citystate,denver,co,39.7391536,-104.9847034,437898388,873303654173900800,0,1
Fri,2017,6,09,22,19,13,citystate,cedar rapids,ia,42.0083328,-91.6440683,3343154050,873303498787606528,0,1
Fri,2017,6,09,22,15,11,knowncity,chicago,unk,41.88,-87.62,207312467,87330248155147059,0,1
Fri,2017,6,09,22,12,50,failure,NA,NA,NA,NA,336224268,87330189195395891,0,1
Fri,2017,6,09,22,10,35,failure,NA,NA,NA,NA,1895771424,87330132363828838,0,1
Fri,2017,6,09,22,10,05,citystate,lincoln,ne,40.8000011,-96.6669599,155493173,873301198845210624,0,1
Fri,2017,6,09,22,10,05,failure,NA,NA,NA,NA,326454045,87330119648796262,0,1
Fri,2017,6,09,22,07,35,failure,NA,NA,NA,NA,201875162,87330057038323302,0,1
Fri,2017,6,09,22,07,23,failure,NA,NA,NA,NA,4641278020,87330052019842662,0,1
Fri,2017,6,09,22,07,16,citystate,san antonio,tx,29.4241219,-98.4936282,3198903701,873300488367820806,0,1
Fri,2017,6,09,22,06,31,citystate,los angeles,ca,34.0522342,-118.2436849,57169747,873300299288530944,0,1
Fri,2017,6,09,22,05,26,citystate,sparta,wi,43.9441328,-90.8129118,4886195830,873300027594219522,0,1
Fri,2017,6,09,21,56,25,citystate,south chicago,il,41.722813,-87.536434,791309619465449472,873297758622560264,0,1
Fri,2017,6,09,21,51,57,citystate,denver,co,39.7391536,-104.9847034,233666363,873296634830041088,0,1
Fri,2017,6,09,21,49,22,failure,NA,NA,NA,NA,2316115213,87329598612221542,0,1
Fri,2017,6,09,21,48,05,citystate,austin,tx,30.267153,-97.7430608,110824083,873295660916899840,0,1
Fri,2017,6,09,21,46,34,knowncity,chicago,unk,41.88,-87.62,344223504,87329528131140403,0,1
Fri,2017,6,09,21,46,30,citystate,kansas city,mo,39.0997266,-94.5785667,356401564,873295262592237574,0,1
Fri,2017,6,09,21,43,58,failure,NA,NA,NA,NA,262479789,87329462528867123,0,1
Fri,2017,6,09,21,43,36,failure,NA,NA,NA,NA,2966330079,87329453522022400,0,1
