#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-23 19:56
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "I-85"
Fri,2017,6,23,22,09,34,geo,unk,unk,35.44491,-80.61359,54283257,87837449880576000,0,1
Fri,2017,6,23,22,08,26,citystate,charlotte,nc,35.2270869,-80.8431268,67590388,878374213542977536,0,1
Fri,2017,6,23,22,08,26,failure,NA,NA,NA,NA,67620412,87837421230123417,0,1
Fri,2017,6,23,22,08,07,citystate,charlotte,nc,35.2270869,-80.8431268,2715157034,878374132898869248,0,1
Fri,2017,6,23,22,08,07,citystate,charlotte,nc,35.2270869,-80.8431268,1339305648,878374132752293888,0,1
Fri,2017,6,23,22,07,57,geo,unk,unk,35.44491,-80.61359,54283257,87837409333422489,0,1
Fri,2017,6,23,22,07,35,citystate,montgomery,al,32.3668052,-86.2999689,2244943692,878374000979722240,0,1
Fri,2017,6,23,22,06,47,failure,NA,NA,NA,NA,1161356384,87837379978745036,0,1
Fri,2017,6,23,22,06,19,citystate,charlotte,nc,35.2270869,-80.8431268,67590388,878373680249581568,0,1
Fri,2017,6,23,22,06,19,failure,NA,NA,NA,NA,67620412,87837367912139161,0,1
Fri,2017,6,23,22,01,47,failure,NA,NA,NA,NA,1161356384,87837253802314957,0,1
Fri,2017,6,23,22,01,13,citystate,charlotte,nc,35.2270869,-80.8431268,67590388,878372399154167809,0,1
Fri,2017,6,23,22,00,45,failure,NA,NA,NA,NA,2956752105,87837228024552652,0,1
Fri,2017,6,23,21,59,25,citystate,charlotte,nc,35.2270869,-80.8431268,336063558,878371944432676864,0,1
Fri,2017,6,23,21,59,21,citystate,charlotte,nc,35.2270869,-80.8431268,2715157034,878371927664078848,0,1
Fri,2017,6,23,21,59,21,citystate,charlotte,nc,35.2270869,-80.8431268,1339305648,878371927496286208,0,1
Fri,2017,6,23,21,59,15,failure,NA,NA,NA,NA,1161356384,87837190416336896,0,1
Fri,2017,6,23,21,57,27,citystate,charlotte,nc,35.2270869,-80.8431268,67590388,878371448959717376,0,1
Fri,2017,6,23,21,54,25,citystate,charlotte,nc,35.2270869,-80.8431268,336063558,878370684245876736,0,1
Fri,2017,6,23,21,30,38,geo,unk,unk,34.8526176,-82.3940104,38163798,87836470008124211,0,1
Fri,2017,6,23,21,26,07,citystate,atlanta,ga,33.7489954,-84.3879824,874215235,878363565912055808,0,1
Fri,2017,6,23,21,23,36,citystate,charlotte,nc,35.2270869,-80.8431268,67590388,878362932282671104,0,1
Fri,2017,6,23,21,22,53,citystate,atlanta,ga,33.7489954,-84.3879824,372314818,878362748228448257,0,1
Fri,2017,6,23,21,18,24,failure,NA,NA,NA,NA,67620412,87836162313994649,0,1
Fri,2017,6,23,21,06,52,geo,unk,unk,35.5834,-80.55074,54283257,87835871979227136,0,1
Fri,2017,6,23,21,02,17,citystate,atlanta,ga,33.7489954,-84.3879824,874215235,878357566023139329,0,1
Fri,2017,6,23,21,01,51,failure,NA,NA,NA,NA,2869833611,87835745648467148,0,1
Fri,2017,6,23,20,58,04,citystate,charlotte,nc,35.2270869,-80.8431268,2715157034,878356504981753856,0,1
