#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-23 19:43
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "tractor+trailer"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Fri,2017,6,23,20,30,13,knowncity,new haven ct usa,unk,41.31,-72.92,14262811,87834949495323443,0,1
Fri,2017,6,23,20,23,35,knowncity,nyc,unk,40.72,-74,718810061678723072,87834782692064870,0,1
Fri,2017,6,23,20,20,02,failure,NA,NA,NA,NA,78117854,87834693189790105,0,1
Fri,2017,6,23,20,16,36,geo,unk,unk,41.744641,-72.661932,95698481,87834607148687360,0,1
Fri,2017,6,23,20,16,36,geo,unk,unk,41.744641,-72.661932,97036677,87834607134018355,0,1
Fri,2017,6,23,20,16,20,geo,unk,unk,39.0704777,-95.6352801,149399057,87834600201230745,0,1
Fri,2017,6,23,20,14,53,failure,NA,NA,NA,NA,122139185,87834563649141145,0,1
Fri,2017,6,23,20,14,52,failure,NA,NA,NA,NA,74463435,87834563494796902,0,1
Fri,2017,6,23,20,12,26,citystate,louisville,ky,38.2542376,-85.759407,732730131110866944,878345022156001281,0,1
Fri,2017,6,23,20,11,30,failure,NA,NA,NA,NA,735873770066350080,87834478556769075,0,1
Fri,2017,6,23,20,00,36,citystate,augusta,ga,33.4709702,-81.9748379,1668500347,878342042438344704,0,1
Fri,2017,6,23,19,57,28,citystate,augusta,ga,33.4709702,-81.9748379,836693692622733313,878341253426855936,0,1
Fri,2017,6,23,19,55,51,geo,unk,unk,46.3237423,-120.0086538,149711815,87834084962453504,0,1
Fri,2017,6,23,19,45,44,geo,unk,unk,41.744641,-72.661932,97036677,87833830092632064,0,1
Fri,2017,6,23,19,45,44,geo,unk,unk,41.744641,-72.661932,95698481,87833830038121267,0,1
Fri,2017,6,23,19,45,27,citystate,buffalo,ny,42.8864468,-78.8783689,1064250324,878338229476376576,0,1
Fri,2017,6,23,19,45,13,citystate,buffalo,ny,42.8864468,-78.8783689,1064250324,878338172580544515,0,1
Fri,2017,6,23,19,44,36,geo,unk,unk,42.9561485,-71.4418101,149758827,87833801672863334,0,1
Fri,2017,6,23,19,36,36,failure,NA,NA,NA,NA,78117854,87833600156274688,0,1
Fri,2017,6,23,19,34,15,failure,NA,NA,NA,NA,122139185,87833541210796032,0,1
Fri,2017,6,23,19,34,15,failure,NA,NA,NA,NA,74463435,87833541133202227,0,1
Fri,2017,6,23,19,34,02,geo,unk,unk,41.744641,-72.661932,97036677,87833535712901939,0,1
Fri,2017,6,23,19,34,02,geo,unk,unk,41.744641,-72.661932,95698481,87833535701996748,0,1
Fri,2017,6,23,19,32,34,geo,unk,unk,41.3614401,-81.812912,23496955,87833498971198259,0,1
Fri,2017,6,23,19,25,58,citystate,chattanooga,tn,35.0456297,-85.3096801,15741370,878333326372642817,0,1
Fri,2017,6,23,19,25,34,geo,unk,unk,42.7795584,-71.5130445,149758827,87833322726551552,0,1
Fri,2017,6,23,19,25,32,failure,NA,NA,NA,NA,331060519,87833322014373478,0,1
Fri,2017,6,23,19,21,49,citystate,hartford,ct,41.7637111,-72.6850932,262700839,878332281164775424,0,1
Fri,2017,6,23,19,21,45,geo,unk,unk,41.744641,-72.661932,97036677,87833226702994637,0,1
Fri,2017,6,23,19,21,45,geo,unk,unk,41.744641,-72.661932,95698481,87833226627909222,0,1
Fri,2017,6,23,19,21,35,geo,unk,unk,41.731929,-72.662486,95698481,87833222411385241,0,1
Fri,2017,6,23,19,21,35,geo,unk,unk,41.731929,-72.662486,97036677,87833222388725350,0,1
Fri,2017,6,23,19,20,40,failure,NA,NA,NA,NA,199578219,87833199200934297,0,1
Fri,2017,6,23,19,17,02,failure,NA,NA,NA,NA,26578338,87833108054524723,0,1
Fri,2017,6,23,19,14,18,geo,unk,unk,28.8,-81.27,23510169,87833039266251980,0,1
Fri,2017,6,23,19,09,30,geo,unk,unk,40.8372809,-81.2595519,151160232,87832918225768857,0,1
Fri,2017,6,23,19,06,32,geo,unk,unk,42.8806437,-71.3273346,149758827,87832843684178739,0,1
Fri,2017,6,23,19,05,55,citystate,charleston,wv,38.3498195,-81.6326235,247426815,878328280117501960,0,1
Fri,2017,6,23,19,01,59,failure,NA,NA,NA,NA,28422010,87832729116769075,0,1
Fri,2017,6,23,18,50,43,failure,NA,NA,NA,NA,87275826,87832445664872038,0,1
