pid,robot,inference,human_tasks,robot_tasks,both_tasks,total_tasks
3a1b5799,reactive,bayesian,20,17,2,39
3a9a9b87,fixed,oracle,22,13,4,39
3a9a9b87,predictive,oracle,16,21,2,39
3a9a9b87,reactive,oracle,16,22,1,39
3acdeb5a,fixed,oracle,17,16,6,39
3acdeb5a,predictive,oracle,23,14,2,39
3acdeb5a,reactive,oracle,19,17,3,39
3bcd82d2,fixed,oracle,18,18,3,39
3bcd82d2,predictive,oracle,20,18,1,39
3bcd82d2,reactive,oracle,16,23,0,39
3cea9615,fixed,oracle,21,9,9,39
3cea9615,predictive,oracle,20,19,0,39
3cea9615,reactive,oracle,23,12,4,39
406abda3,fixed,bayesian,17,21,1,39
406abda3,predictive,bayesian,9,28,2,39
406abda3,reactive,bayesian,14,23,2,39
40fc6c37,fixed,oracle,30,4,5,39
40fc6c37,predictive,oracle,27,12,0,39
40fc6c37,reactive,oracle,29,6,4,39
412eb63d,fixed,oracle,19,15,5,39
412eb63d,predictive,oracle,22,17,0,39
412eb63d,reactive,oracle,20,15,4,39
41361c49,fixed,bayesian,21,12,6,39
41361c49,predictive,bayesian,17,20,2,39
41361c49,reactive,bayesian,25,11,3,39
4141c85b,fixed,oracle,20,12,7,39
4141c85b,predictive,oracle,21,17,1,39
4141c85b,reactive,oracle,19,19,1,39
41c57945,fixed,bayesian,17,16,6,39
41c57945,predictive,bayesian,19,15,5,39
41c57945,reactive,bayesian,18,15,6,39
426e18c4,fixed,oracle,21,10,8,39
426e18c4,predictive,oracle,25,13,1,39
426e18c4,reactive,oracle,24,9,6,39
4373d8a7,fixed,bayesian,20,12,7,39
4373d8a7,predictive,bayesian,22,15,2,39
4373d8a7,reactive,bayesian,22,12,5,39
45573dd6,fixed,oracle,19,8,12,39
45573dd6,predictive,oracle,26,13,0,39
45573dd6,reactive,oracle,20,8,11,39
4647d89c,fixed,bayesian,20,9,10,39
4647d89c,predictive,bayesian,23,13,3,39
4647d89c,reactive,bayesian,18,11,10,39
480aa400,fixed,bayesian,21,13,5,39
480aa400,predictive,bayesian,16,20,3,39
480aa400,reactive,bayesian,22,12,5,39
482732ab,fixed,oracle,21,10,8,39
482732ab,predictive,oracle,16,22,1,39
482732ab,reactive,oracle,22,13,4,39
48fe2aa5,fixed,oracle,22,11,6,39
48fe2aa5,predictive,oracle,32,7,0,39
48fe2aa5,reactive,oracle,26,6,7,39
4cce694b,fixed,oracle,21,14,4,39
4cce694b,predictive,oracle,24,15,0,39
4cce694b,reactive,oracle,26,8,5,39
4e5584ac,fixed,oracle,21,12,6,39
4e5584ac,predictive,oracle,26,13,0,39
4e5584ac,reactive,oracle,20,16,3,39
508e2009,fixed,oracle,16,17,6,39
508e2009,predictive,oracle,18,20,1,39
508e2009,reactive,oracle,15,16,8,39
52d4d2ac,fixed,oracle,17,20,2,39
52d4d2ac,predictive,oracle,17,22,0,39
52d4d2ac,reactive,oracle,14,24,1,39
52f900bf,fixed,bayesian,25,5,9,39
52f900bf,predictive,bayesian,17,17,5,39
52f900bf,reactive,bayesian,25,10,4,39
53e4ffef,fixed,oracle,22,10,7,39
53e4ffef,predictive,oracle,24,15,0,39
53e4ffef,reactive,oracle,23,5,11,39
55bfe0bc,fixed,oracle,22,6,11,39
55bfe0bc,predictive,oracle,26,13,0,39
55bfe0bc,reactive,oracle,22,11,6,39
563f3bc9,fixed,oracle,22,9,8,39
563f3bc9,predictive,oracle,29,10,0,39
563f3bc9,reactive,oracle,22,9,8,39
57615b62,fixed,oracle,18,13,8,39
57615b62,predictive,oracle,24,15,0,39
57615b62,reactive,oracle,21,13,5,39
57f1be5b,fixed,oracle,23,9,7,39
57f1be5b,predictive,oracle,29,9,1,39
57f1be5b,reactive,oracle,24,5,10,39
58b99554,fixed,oracle,21,11,7,39
58b99554,predictive,oracle,23,16,0,39
58b99554,reactive,oracle,22,15,2,39
58fd40c0,fixed,bayesian,17,20,2,39
58fd40c0,predictive,bayesian,9,30,0,39
58fd40c0,reactive,bayesian,17,21,1,39
5944b35e,fixed,oracle,22,13,4,39
5944b35e,predictive,oracle,28,11,0,39
5944b35e,reactive,oracle,20,12,7,39
5ab50a33,fixed,bayesian,26,13,0,39
5ab50a33,predictive,bayesian,17,20,2,39
5ab50a33,reactive,bayesian,23,13,3,39
5ac9d007,fixed,bayesian,20,11,8,39
5ac9d007,predictive,bayesian,23,10,6,39
5ac9d007,reactive,bayesian,20,13,6,39
5c38442a,fixed,oracle,19,12,8,39
5c38442a,predictive,oracle,27,12,0,39
5c38442a,reactive,oracle,18,10,11,39
5c604d95,fixed,oracle,21,14,4,39
5c604d95,predictive,oracle,20,19,0,39
5c604d95,reactive,oracle,17,17,5,39
60781f72,fixed,bayesian,22,15,2,39
60781f72,predictive,bayesian,14,25,0,39
60781f72,reactive,bayesian,22,14,3,39
60edc906,fixed,oracle,15,15,9,39
60edc906,predictive,oracle,15,24,0,39
60edc906,reactive,oracle,15,18,6,39
6167999f,fixed,bayesian,18,12,9,39
6167999f,predictive,bayesian,17,19,3,39
6167999f,reactive,bayesian,18,14,7,39
61f2723a,fixed,bayesian,20,10,9,39
61f2723a,predictive,bayesian,20,16,3,39
61f2723a,reactive,bayesian,19,15,5,39
62e51ce0,fixed,oracle,17,14,8,39
62e51ce0,predictive,oracle,17,19,3,39
62e51ce0,reactive,oracle,18,15,6,39
6532bbfb,fixed,bayesian,22,11,6,39
6532bbfb,predictive,bayesian,21,12,6,39
6532bbfb,reactive,bayesian,21,10,8,39
66812b1f,fixed,bayesian,21,10,8,39
66812b1f,predictive,bayesian,18,19,2,39
66812b1f,reactive,bayesian,24,13,2,39
6715281b,fixed,bayesian,17,12,10,39
6715281b,predictive,bayesian,22,13,4,39
6715281b,reactive,bayesian,21,13,5,39
678874a9,fixed,bayesian,20,9,10,39
678874a9,predictive,bayesian,22,11,6,39
678874a9,reactive,bayesian,23,10,6,39
67e51380,fixed,oracle,22,9,8,39
67e51380,predictive,oracle,24,14,1,39
67e51380,reactive,oracle,23,6,10,39
682d5faa,fixed,bayesian,20,7,12,39
682d5faa,predictive,bayesian,23,10,6,39
682d5faa,reactive,bayesian,22,8,9,39
68493f43,fixed,oracle,18,15,6,39
68493f43,predictive,oracle,23,16,0,39
68493f43,reactive,oracle,22,14,3,39
6b85ba2c,fixed,bayesian,18,15,6,39
6b85ba2c,predictive,bayesian,19,20,0,39
6b85ba2c,reactive,bayesian,18,15,6,39
6bb761d1,fixed,oracle,20,10,9,39
6bb761d1,predictive,oracle,25,14,0,39
6bb761d1,reactive,oracle,23,9,7,39
6cf74779,fixed,oracle,16,20,3,39
6cf74779,predictive,oracle,15,21,3,39
6cf74779,reactive,oracle,13,24,2,39
6d74933a,fixed,oracle,22,12,5,39
6d74933a,predictive,oracle,18,21,0,39
6d74933a,reactive,oracle,18,15,6,39
6f17a4a0,fixed,oracle,22,10,7,39
6f17a4a0,predictive,oracle,19,19,1,39
6f17a4a0,reactive,oracle,22,14,3,39
716d658a,fixed,bayesian,26,8,5,39
716d658a,predictive,bayesian,19,17,3,39
716d658a,reactive,bayesian,25,9,5,39
